week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2019-05-18","2019-05-11","04000US12","Florida",6354,33957,8511100,0.4,1558152000000,"May 18th, 2019","04000US12","Florida"
"2019-05-18","2019-05-11","04000US13","Georgia",4286,24030,4314458,0.56,1558152000000,"May 18th, 2019","04000US13","Georgia"
"2019-05-18","2019-05-11","04000US20","Kansas",1402,8083,1354497,0.6,1558152000000,"May 18th, 2019","04000US20","Kansas"
"2019-05-18","2019-05-11","04000US26","Michigan",5866,42602,4277987,1,1558152000000,"May 18th, 2019","04000US26","Michigan"
"2019-05-11","2019-05-04","04000US08","Colorado",1765,18094,2605045,0.69,1557547200000,"May 11th, 2019","04000US08","Colorado"
"2019-05-11","2019-05-04","04000US12","Florida",6402,33697,8511100,0.4,1557547200000,"May 11th, 2019","04000US12","Florida"
"2019-05-11","2019-05-04","04000US13","Georgia",5072,23743,4314458,0.55,1557547200000,"May 11th, 2019","04000US13","Georgia"
"2019-05-11","2019-05-04","04000US20","Kansas",1546,8253,1354497,0.61,1557547200000,"May 11th, 2019","04000US20","Kansas"
"2019-05-11","2019-05-04","04000US26","Michigan",5016,42462,4277987,0.99,1557547200000,"May 11th, 2019","04000US26","Michigan"
"2019-05-04","2019-04-27","04000US08","Colorado",1813,18717,2605045,0.72,1556942400000,"May 4th, 2019","04000US08","Colorado"
"2019-05-04","2019-04-27","04000US12","Florida",6262,33181,8511100,0.39,1556942400000,"May 4th, 2019","04000US12","Florida"
"2019-05-04","2019-04-27","04000US13","Georgia",4851,23899,4314458,0.55,1556942400000,"May 4th, 2019","04000US13","Georgia"
"2019-05-04","2019-04-27","04000US20","Kansas",2025,7589,1354497,0.56,1556942400000,"May 4th, 2019","04000US20","Kansas"
"2019-05-04","2019-04-27","04000US26","Michigan",4637,49314,4277987,1.15,1556942400000,"May 4th, 2019","04000US26","Michigan"
"2019-04-27","2019-04-20","04000US08","Colorado",1945,18239,2605045,0.7,1556337600000,"April 27th, 2019","04000US08","Colorado"
"2019-04-27","2019-04-20","04000US12","Florida",5900,34170,8511100,0.4,1556337600000,"April 27th, 2019","04000US12","Florida"
"2019-04-27","2019-04-20","04000US13","Georgia",4457,24013,4314458,0.56,1556337600000,"April 27th, 2019","04000US13","Georgia"
"2019-04-27","2019-04-20","04000US20","Kansas",1271,7649,1354497,0.56,1556337600000,"April 27th, 2019","04000US20","Kansas"
"2019-04-27","2019-04-20","04000US26","Michigan",4691,51581,4277987,1.21,1556337600000,"April 27th, 2019","04000US26","Michigan"
"2019-04-20","2019-04-13","04000US08","Colorado",1989,19035,2605045,0.73,1555732800000,"April 20th, 2019","04000US08","Colorado"
"2019-04-20","2019-04-13","04000US12","Florida",5911,33688,8511100,0.4,1555732800000,"April 20th, 2019","04000US12","Florida"
"2019-04-20","2019-04-13","04000US13","Georgia",4655,23737,4314458,0.55,1555732800000,"April 20th, 2019","04000US13","Georgia"
"2019-04-20","2019-04-13","04000US20","Kansas",1167,7767,1354498,0.57,1555732800000,"April 20th, 2019","04000US20","Kansas"
"2019-04-20","2019-04-13","04000US26","Michigan",4842,62658,4277987,1.46,1555732800000,"April 20th, 2019","04000US26","Michigan"
"2019-04-13","2019-04-06","04000US08","Colorado",2037,18236,2605045,0.7,1555128000000,"April 13th, 2019","04000US08","Colorado"
"2019-04-13","2019-04-06","04000US12","Florida",6345,33243,8511100,0.39,1555128000000,"April 13th, 2019","04000US12","Florida"
"2019-04-13","2019-04-06","04000US13","Georgia",5248,24837,4314458,0.58,1555128000000,"April 13th, 2019","04000US13","Georgia"
"2019-04-13","2019-04-06","04000US20","Kansas",1298,7999,1354497,0.59,1555128000000,"April 13th, 2019","04000US20","Kansas"
"2019-04-13","2019-04-06","04000US26","Michigan",5579,60805,4277987,1.42,1555128000000,"April 13th, 2019","04000US26","Michigan"
"2019-04-06","2019-03-30","04000US08","Colorado",1903,20735,2588607,0.8,1554523200000,"April 6th, 2019","04000US08","Colorado"
"2019-04-06","2019-03-30","04000US12","Florida",6402,33253,8445378,0.39,1554523200000,"April 6th, 2019","04000US12","Florida"
"2019-04-06","2019-03-30","04000US13","Georgia",4642,23020,4290407,0.54,1554523200000,"April 6th, 2019","04000US13","Georgia"
"2019-04-06","2019-03-30","04000US20","Kansas",1357,8643,1351006,0.64,1554523200000,"April 6th, 2019","04000US20","Kansas"
